Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Donut,Apple Crumb,1 Donut,Apple Crumb,490,N/A,"Calories: 490.0 , Fat Calories: 160.0 , Total Fat: 18.0 , Saturated Fat: 9.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 350.0 , Potassium: None , Total Carbohydrates: 80.0 , Dietary Fiber: 2.0 , Sugars: 49.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 1.44 ",
Every Day,Donut,Apple Pie,1 Donut,Apple Pie,320,N/A,"Calories: 320.0 , Fat Calories: 130.0 , Total Fat: 15.0 , Saturated Fat: 7.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 360.0 , Potassium: None , Total Carbohydrates: 42.0 , Dietary Fiber: 1.0 , Sugars: 19.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 1.08 ",
Every Day,Donut,Bavarian Kreme,1 Donut,Bavarian Kreme,270,N/A,"Calories: 270.0 , Fat Calories: 140.0 , Total Fat: 15.0 , Saturated Fat: 7.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 350.0 , Potassium: None , Total Carbohydrates: 31.0 , Dietary Fiber: 1.0 , Sugars: 9.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 1.08 ",
Every Day,Donut,Blueberry Cake,1 Donut,Blueberry Cake,340,N/A,"Calories: 340.0 , Fat Calories: 150.0 , Total Fat: 17.0 , Saturated Fat: 8.0 , Trans Fat: 0.0 , Cholesterol: 30.0 , Sodium: 570.0 , Potassium: None , Total Carbohydrates: 44.0 , Dietary Fiber: 1.0 , Sugars: 21.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 80.0 , Iron: 1.8 ",
Every Day,Donut,Blueberry Crumb,1 Donut,Blueberry Crumb,500,N/A,"Calories: 500.0 , Fat Calories: 160.0 , Total Fat: 18.0 , Saturated Fat: 9.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 350.0 , Potassium: None , Total Carbohydrates: 84.0 , Dietary Fiber: 2.0 , Sugars: 52.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 1.44 ",
Every Day,Donut,Boston Kreme,1 Donut,Boston Kreme,310,N/A,"Calories: 310.0 , Fat Calories: 140.0 , Total Fat: 16.0 , Saturated Fat: 7.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 370.0 , Potassium: None , Total Carbohydrates: 39.0 , Dietary Fiber: 1.0 , Sugars: 16.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 1.44 ",
Every Day,Donut,Bow Tie,1 Donut,Bow Tie,310,N/A,"Calories: 310.0 , Fat Calories: 140.0 , Total Fat: 15.0 , Saturated Fat: 7.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 400.0 , Potassium: None , Total Carbohydrates: 39.0 , Dietary Fiber: 1.0 , Sugars: 15.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 1.44 ",
Every Day,Donut,Caramel Chocolate,1 Donut,Caramel Chocolate,340,N/A,"Calories: 340.0 , Fat Calories: 160.0 , Total Fat: 17.0 , Saturated Fat: 8.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 370.0 , Potassium: None , Total Carbohydrates: 44.0 , Dietary Fiber: 1.0 , Sugars: 25.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 1.44 ",
Every Day,Donut,Chocolate Coconut Cake,1 Donut,Chocolate Coconut Cake,550,N/A,"Calories: 550.0 , Fat Calories: 350.0 , Total Fat: 39.0 , Saturated Fat: 25.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 390.0 , Potassium: None , Total Carbohydrates: 47.0 , Dietary Fiber: 2.0 , Sugars: 22.0 , Protein: 5.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 2.7 ",
Every Day,Donut,Chocolate Frosted Cake,1 Donut,Chocolate Frosted Cake,370,N/A,"Calories: 370.0 , Fat Calories: 210.0 , Total Fat: 23.0 , Saturated Fat: 10.0 , Trans Fat: 0.0 , Cholesterol: 25.0 , Sodium: 320.0 , Potassium: None , Total Carbohydrates: 45.0 , Dietary Fiber: 1.0 , Sugars: 20.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 1.44 ",
